,close,returns,loss_aversion
2026-02-13,255.78,-0.0227333511634127,22.631247685329907
2026-02-27,264.18,-0.0321304268180985,20.548632759582016
2026-02-10,273.68,-0.003422911659748,20.53126028220918
2026-01-20,246.7,-0.0345556294759911,14.514331739143504
2026-01-08,259.04,-0.0049552491069025,12.377102830696815
2026-01-07,260.33,-0.0077374599786553,11.484387595201763
2026-01-15,258.21,-0.0067318048930604,11.35676840300915
2026-01-16,255.53,-0.0103791487548893,11.270781864172411
2026-01-06,262.36,-0.0183342063907804,11.208259613450698
2026-01-05,267.26,-0.0138371277812626,10.125749172957851
